direction,hardness,se,n_items
N,1.0,0.391,4
Y,0.288,0.391,4
N,0.411,0.391,3
N,0.712,0.391,4
N,0.699,0.391,2
N,0.681,0.391,3
N,0.305,0.391,3
N,0.987,0.391,2
N,0.712,0.391,3
Y,0.017,0.391,3
Y,0.031,0.391,4
Y,0.27,0.433,3
N,0.699,0.391,3
Y,0.305,0.391,3
N,0.969,0.391,4
Y,0.0,0.391,4
N,0.969,0.391,3
N,0.699,0.391,2
N,0.411,0.391,3
Y,0.319,0.391,4
U,0.292,0.434,2
Y,0.031,0.391,4
Y,0.031,0.391,4
Y,0.425,0.391,4
N,0.017,0.391,3
Y,0.411,0.391,2
N,0.712,0.391,4
Y,0.292,0.434,2
Y,0.288,0.391,4
N,0.699,0.391,3
N,0.393,0.391,4
Y,0.607,0.391,4
U,0.776,0.434,2
N,0.776,0.434,2
Y,0.292,0.434,2
Y,0.305,0.391,3
Y,0.288,0.391,4
Y,0.27,0.433,3
N,0.017,0.391,3
N,0.699,0.391,3
N,0.681,0.391,4
U,0.792,0.433,3
N,0.712,0.391,3
N,0.699,0.391,2
Y,0.319,0.391,3
U,0.776,0.434,2
Y,0.607,0.391,4
Y,0.288,0.391,4
Y,0.031,0.391,4
U,0.309,0.433,3
N,0.292,0.434,2
N,0.292,0.434,2
N,1.0,0.391,3
N,0.681,0.391,4
Y,0.0,0.391,4
N,0.987,0.391,2
Y,0.319,0.391,4
N,0.699,0.391,3
Y,0.27,0.433,3
N,0.309,0.433,3
U,0.309,0.433,3
Y,0.0,0.391,4
U,0.776,0.434,2
Y,0.969,0.391,4
N,0.987,0.391,2
U,0.292,0.434,2
N,0.699,0.391,3
U,0.292,0.434,2
N,1.0,0.391,4
Y,0.699,0.391,3
U,0.776,0.434,2
U,0.292,0.434,2
N,0.699,0.391,3
N,0.969,0.391,4
N,1.0,0.391,4
Y,0.593,0.391,3
N,0.411,0.391,3
N,0.699,0.391,3
U,0.776,0.434,2
Y,0.319,0.391,4
Y,0.031,0.391,4
Y,0.27,0.433,2
U,0.776,0.434,2
Y,0.0,0.391,4
Y,0.712,0.391,3
N,0.411,0.391,3
U,0.776,0.434,2
Y,0.305,0.391,3
N,0.017,0.391,3
Y,0.319,0.391,4
Y,0.288,0.391,4
Y,0.288,0.391,4
Y,0.031,0.391,4
Y,0.425,0.391,4
Y,0.607,0.391,3
N,0.987,0.391,2
N,0.969,0.391,4
N,0.699,0.391,3
U,0.792,0.433,3
Y,0.776,0.434,2
Y,0.0,0.391,3
N,0.566,0.43,2
N,0.969,0.391,4
N,0.898,0.43,2
Y,0.017,0.391,3
N,1.0,0.391,4
U,0.776,0.434,2
N,0.969,0.391,4
Y,0.0,0.391,3
N,0.987,0.391,3
U,0.576,0.488,2
N,0.898,0.43,2
N,0.898,0.43,2
U,0.776,0.434,2
U,0.776,0.434,2
Y,0.017,0.391,3
N,0.309,0.433,3
N,0.425,0.391,3
U,0.776,0.434,2
N,0.699,0.391,3
N,0.699,0.391,3
N,1.0,0.391,4
Y,0.292,0.434,2
Y,0.0,0.391,4
N,0.699,0.391,3
N,1.0,0.391,4
N,0.776,0.434,2
N,0.593,0.391,3
N,0.776,0.434,2
N,0.593,0.391,3
N,0.776,0.434,2
N,0.987,0.391,3
N,0.776,0.434,2
N,0.031,0.391,4
N,0.987,0.391,3
N,0.292,0.434,2
Y,0.607,0.391,4
U,0.792,0.433,2
Y,0.607,0.391,3
Y,0.319,0.391,4
N,0.699,0.391,3
Y,0.0,0.391,4
Y,0.305,0.391,3
Y,0.305,0.391,3
Y,0.288,0.391,4
Y,0.319,0.391,4
N,0.699,0.391,2
N,0.913,0.43,2
Y,0.219,0.43,3
U,0.27,0.433,3
Y,0.681,0.391,4
Y,0.017,0.391,3
Y,0.776,0.434,2
N,0.681,0.391,3
Y,0.319,0.391,4
N,1.0,0.391,4
Y,0.305,0.391,3
Y,0.031,0.391,4
N,0.699,0.391,3
N,0.969,0.391,4
Y,0.309,0.433,3
N,0.712,0.391,4
N,0.288,0.391,4
U,0.776,0.434,2
Y,0.017,0.391,3
N,0.699,0.391,3
N,0.393,0.391,4
Y,0.017,0.391,3
U,0.292,0.434,2
N,0.699,0.391,3
U,0.792,0.433,2
N,0.0,0.391,4
Y,0.411,0.391,2
N,0.712,0.391,3
U,0.776,0.434,2
Y,0.699,0.391,3
Y,0.017,0.391,3
N,0.681,0.391,4
U,0.792,0.433,3
N,0.712,0.391,4
N,0.411,0.391,3
N,0.699,0.391,3
N,0.699,0.391,3
N,0.712,0.391,4
N,0.411,0.391,3
N,0.792,0.433,3
N,0.712,0.391,4
N,0.699,0.391,3
N,0.712,0.391,4
N,0.411,0.391,2
Y,0.681,0.391,4
N,0.607,0.391,4
Y,0.0,0.391,4
Y,0.305,0.391,3
N,0.681,0.391,4
U,0.27,0.433,3
N,0.681,0.391,4
Y,0.681,0.391,3
Y,0.288,0.391,4
N,0.913,0.43,3
U,0.776,0.434,2
Y,0.031,0.391,4
N,1.0,0.391,4
U,0.754,0.433,3
Y,0.017,0.391,3
Y,0.202,0.43,2
N,0.699,0.391,3
N,0.776,0.434,2
N,0.292,0.434,2
N,0.776,0.434,2
N,0.776,0.434,2
N,0.776,0.434,2
N,0.792,0.433,3
N,0.575,0.391,4
N,0.292,0.434,2
N,0.987,0.391,3
N,1.0,0.391,4
N,1.0,0.391,3
Y,0.288,0.391,4
Y,0.319,0.391,3
U,0.754,0.433,2
Y,0.305,0.391,3
Y,0.031,0.391,4
Y,0.393,0.391,3
N,0.411,0.391,3
Y,0.0,0.391,4
N,0.699,0.391,3
Y,0.319,0.391,3
N,0.969,0.391,4
N,0.593,0.391,3
N,0.776,0.434,2
N,0.593,0.391,3
N,0.987,0.391,3
Y,0.288,0.391,4
N,0.712,0.391,3
U,0.776,0.434,2
Y,0.754,0.433,3
Y,0.017,0.391,3
N,0.712,0.391,4
N,0.681,0.391,4
Y,0.202,0.43,2
N,1.0,0.391,4
N,0.987,0.391,3
Y,0.309,0.433,3
Y,0.031,0.391,3
N,0.987,0.391,3
Y,0.031,0.391,3
U,0.754,0.433,2
N,0.528,0.43,3
N,0.987,0.391,3
U,0.292,0.434,2
N,0.699,0.391,3
N,0.712,0.391,4
N,0.712,0.391,4
N,0.712,0.391,3
N,1.0,0.391,4
N,1.0,0.391,3
N,0.776,0.434,2
N,0.969,0.391,3
N,0.411,0.391,3
Y,0.607,0.391,3
U,0.625,0.488,2
N,0.987,0.391,3
N,1.0,0.391,4
Y,0.393,0.391,3
Y,0.319,0.391,4
Y,0.712,0.391,4
N,0.425,0.391,3
Y,0.017,0.391,3
N,0.681,0.391,4
N,0.969,0.391,3
Y,0.27,0.433,3
N,0.681,0.391,3
Y,0.699,0.391,3
N,0.699,0.391,3
U,0.754,0.433,3
Y,0.712,0.391,3
N,0.776,0.434,2
N,0.776,0.434,2
N,0.776,0.434,2
N,1.0,0.391,4
N,0.776,0.434,2
N,0.593,0.391,3
N,0.776,0.434,2
N,0.593,0.391,3
N,0.987,0.391,3
N,1.0,0.391,3
N,1.0,0.391,3
N,1.0,0.391,4
N,0.913,0.43,2
N,0.913,0.43,3
U,0.792,0.433,3
N,1.0,0.391,4
U,0.792,0.433,3
U,0.776,0.434,2
U,0.776,0.434,2
U,0.776,0.434,2
U,0.292,0.434,2
U,0.754,0.433,3
Y,0.017,0.391,3
N,0.55,0.43,2
U,0.776,0.434,2
N,0.987,0.391,3
N,0.681,0.391,4
N,1.0,0.391,3
U,0.776,0.434,2
N,0.969,0.391,4
U,0.776,0.434,2
N,0.987,0.391,3
U,0.776,0.434,2
N,0.699,0.391,3
N,0.969,0.391,4
N,1.0,0.391,4
U,0.776,0.434,2
Y,1.0,0.391,4
N,0.913,0.43,3
Y,0.607,0.391,4
Y,0.607,0.391,4
N,0.776,0.434,2
U,0.792,0.433,3
N,1.0,0.391,3
N,0.987,0.391,2
U,0.754,0.433,3
N,0.913,0.43,3
N,1.0,0.391,4
Y,0.292,0.434,2
N,0.681,0.391,3
Y,0.411,0.391,2
N,0.681,0.391,4
Y,0.607,0.391,3
N,0.305,0.391,2
Y,0.288,0.391,4
N,0.712,0.391,4
N,0.681,0.391,4
Y,0.031,0.391,4
N,0.411,0.391,3
N,0.987,0.391,2
N,1.0,0.391,3
Y,0.607,0.391,4
Y,0.292,0.434,2
Y,0.017,0.391,3
N,1.0,0.391,3
N,0.319,0.391,4
N,0.699,0.391,3
Y,0.393,0.391,4
U,0.776,0.434,2
N,1.0,0.391,3
U,0.792,0.433,2
N,0.681,0.391,4
N,0.319,0.391,3
U,0.309,0.433,3
Y,0.607,0.391,4
Y,0.288,0.391,4
Y,0.031,0.391,4
N,1.0,0.391,3
U,0.576,0.488,2
Y,0.309,0.433,2
U,0.776,0.434,2
N,0.987,0.391,2
Y,0.305,0.391,3
Y,1.0,0.391,4
N,0.575,0.391,4
U,0.754,0.433,3
Y,0.425,0.391,4
Y,0.425,0.391,4
U,0.309,0.433,3
Y,0.202,0.43,2
N,0.593,0.391,3
N,0.699,0.391,3
N,0.681,0.391,4
N,0.987,0.391,2
N,0.55,0.43,2
N,0.987,0.391,2
U,0.625,0.488,2
U,0.776,0.434,2
N,0.55,0.43,2
U,0.292,0.434,2
N,0.699,0.391,3
U,0.792,0.433,3
Y,0.0,0.391,4
U,0.27,0.433,2
Y,0.031,0.391,4
Y,0.411,0.391,3
N,0.411,0.391,3
N,1.0,0.391,3
U,0.292,0.434,2
N,0.699,0.391,3
Y,0.575,0.391,3
N,0.288,0.391,4
N,1.0,0.391,3
N,0.969,0.391,3
U,0.776,0.434,2
N,0.987,0.391,2
N,1.0,0.391,3
N,0.393,0.391,4
N,1.0,0.391,3
N,0.987,0.391,2
N,0.681,0.391,3
N,0.031,0.391,4
N,0.712,0.391,4
N,0.425,0.391,3
Y,0.607,0.391,4
N,1.0,0.391,3
N,0.699,0.391,2
Y,0.031,0.391,4
N,0.575,0.391,4
N,1.0,0.391,4
N,1.0,0.391,4
N,0.575,0.391,4
N,0.987,0.391,3
N,0.792,0.433,2
N,0.776,0.434,2
N,0.987,0.391,2
N,1.0,0.391,4
N,0.219,0.43,3
U,0.792,0.433,3
N,0.575,0.391,4
N,1.0,0.391,4
N,0.969,0.391,3
U,0.776,0.434,2
N,0.319,0.391,4
N,1.0,0.391,4
N,1.0,0.391,4
U,0.792,0.433,2
U,0.792,0.433,3
U,0.776,0.434,2
N,0.528,0.43,3
U,0.776,0.434,2
N,1.0,0.391,4
N,0.898,0.43,2
N,0.712,0.391,4
N,1.0,0.391,4
N,0.987,0.391,3
U,0.776,0.434,2
N,0.712,0.391,4
N,1.0,0.391,3
N,1.0,0.391,4
N,0.411,0.391,3
N,1.0,0.391,4
U,0.292,0.434,2
U,0.776,0.434,2
U,0.754,0.433,3
Y,0.425,0.391,4
N,0.017,0.391,3
N,0.898,0.43,2
N,0.305,0.391,3
N,0.699,0.391,3
N,0.425,0.391,4
N,0.411,0.391,3
U,0.309,0.433,3
N,0.566,0.43,3
N,0.712,0.391,4
N,0.969,0.391,3
U,0.776,0.434,2
N,0.969,0.391,3
Y,0.607,0.391,4
N,1.0,0.391,3
N,0.699,0.391,3
N,0.309,0.433,3
U,0.792,0.433,3
Y,0.319,0.391,3
N,1.0,0.391,3
N,0.969,0.391,3
N,0.792,0.433,2
Y,0.607,0.391,4
N,0.699,0.391,3
N,0.987,0.391,3
N,0.898,0.43,2
N,0.987,0.391,3
N,1.0,0.391,4
U,0.792,0.433,3
N,0.699,0.391,3
N,0.712,0.391,4
N,0.876,0.43,3
Y,0.202,0.43,2
U,0.292,0.434,2
Y,0.219,0.43,3
Y,0.202,0.43,2
Y,0.0,0.391,4
Y,0.319,0.391,3
N,0.969,0.391,3
N,0.754,0.433,3
N,0.987,0.391,2
N,0.699,0.391,3
U,0.776,0.434,2
U,0.776,0.434,2
U,0.776,0.434,2
Y,0.607,0.391,4
Y,0.876,0.43,3
N,0.288,0.391,4
Y,0.607,0.391,4
Y,0.393,0.391,4
U,0.776,0.434,2
Y,0.607,0.391,4
N,0.969,0.391,3
N,0.969,0.391,4
Y,0.754,0.433,2
N,1.0,0.391,3
N,0.987,0.391,2
N,1.0,0.391,3
N,1.0,0.391,3
U,0.776,0.434,2
N,0.681,0.391,4
N,0.393,0.391,3
U,0.792,0.433,2
Y,0.017,0.391,2
Y,0.017,0.391,3
N,0.969,0.391,3
N,1.0,0.391,3
N,0.776,0.434,2
N,0.607,0.391,4
N,0.575,0.391,4
N,0.776,0.434,2
N,0.776,0.434,2
N,0.575,0.391,4
N,0.776,0.434,2
N,0.987,0.391,3
N,0.776,0.434,2
N,0.607,0.391,4
N,0.681,0.391,4
N,0.288,0.391,4
N,0.712,0.391,3
N,0.776,0.434,2
N,0.969,0.391,3
N,0.969,0.391,3
N,0.593,0.391,3
N,0.699,0.391,2
N,0.575,0.391,3
N,0.575,0.391,3
N,0.712,0.391,3
Y,0.27,0.433,3
N,0.969,0.391,3
N,0.699,0.391,2
N,0.699,0.391,2
N,0.969,0.391,3
U,0.776,0.434,2
Y,0.288,0.391,4
N,0.754,0.433,2
N,0.681,0.391,3
N,0.699,0.391,3
N,0.393,0.391,4
N,0.712,0.391,4
N,0.699,0.391,3
Y,0.411,0.391,2
N,0.425,0.391,4
N,0.305,0.391,3
Y,0.607,0.391,4
Y,0.681,0.391,4
N,0.987,0.391,2
U,0.625,0.488,2
N,1.0,0.391,3
Y,0.0,0.391,4
N,0.681,0.391,4
N,0.681,0.391,4
N,0.969,0.391,3
N,0.681,0.391,4
N,1.0,0.391,4
N,1.0,0.391,3
N,0.969,0.391,4
N,0.987,0.391,2
N,0.681,0.391,4
N,0.319,0.391,4
Y,0.712,0.391,4
Y,0.219,0.43,2
U,0.292,0.434,2
Y,0.319,0.391,4
Y,0.319,0.391,4
N,0.776,0.434,2
Y,0.0,0.391,4
U,0.776,0.434,2
N,0.776,0.434,2
N,0.776,0.434,2
N,0.776,0.434,2
N,0.776,0.434,2
N,0.776,0.434,2
N,0.776,0.434,2
N,0.776,0.434,2
U,0.754,0.433,3
Y,0.288,0.391,4
U,0.754,0.433,3
Y,0.292,0.434,2
N,0.987,0.391,2
U,0.754,0.433,2
Y,0.576,0.488,2
Y,0.27,0.433,3
Y,0.27,0.433,3
N,1.0,0.391,3
U,0.776,0.434,2
N,0.699,0.391,2
N,0.969,0.391,4
N,1.0,0.391,3
N,0.681,0.391,4
N,0.411,0.391,3
N,0.987,0.391,3
U,0.754,0.433,3
N,0.898,0.43,2
U,0.776,0.434,2
U,0.792,0.433,3
U,0.754,0.433,3
U,0.776,0.434,2
N,0.987,0.391,3
N,0.898,0.43,2
U,0.776,0.434,2
U,0.625,0.488,2
N,1.0,0.391,4
U,0.776,0.434,2
Y,0.031,0.391,4
N,0.792,0.433,2
N,0.969,0.391,3
N,0.681,0.391,4
N,0.987,0.391,2
N,1.0,0.391,3
Y,0.292,0.434,2
N,0.987,0.391,3
N,0.776,0.434,2
N,0.699,0.391,3
N,0.699,0.391,3
U,0.776,0.434,2
U,0.754,0.433,3
N,1.0,0.391,4
N,0.425,0.391,4
Y,0.0,0.391,3
N,0.681,0.391,4
N,0.776,0.434,2
N,0.0,0.391,4
N,0.987,0.391,3
U,0.776,0.434,2
N,0.712,0.391,4
Y,0.017,0.391,3
Y,0.0,0.391,4
N,0.712,0.391,4
Y,0.031,0.391,3
N,0.411,0.391,3
Y,0.288,0.391,4
N,0.754,0.433,3
N,1.0,0.391,3
U,0.292,0.434,2
Y,0.288,0.391,4
N,1.0,0.391,3
N,0.969,0.391,3
N,0.776,0.434,2
N,0.792,0.433,2
N,1.0,0.391,3
N,1.0,0.391,3
Y,0.288,0.391,4
Y,0.607,0.391,4
Y,0.0,0.391,4
U,0.292,0.434,2
N,1.0,0.391,3
Y,0.776,0.434,2
N,0.987,0.391,3
N,0.776,0.434,2
N,0.425,0.391,4
N,0.699,0.391,3
Y,0.607,0.391,4
U,0.292,0.434,2
U,0.292,0.434,2
N,0.393,0.391,4
N,0.528,0.43,2
N,0.55,0.43,2
N,1.0,0.391,3
N,0.754,0.433,2
U,0.792,0.433,3
Y,0.425,0.391,4
Y,0.0,0.391,4
N,0.969,0.391,3
N,1.0,0.391,4
N,0.699,0.391,3
N,0.411,0.391,3
Y,0.0,0.391,3
N,0.776,0.434,2
N,0.792,0.433,2
Y,0.288,0.391,4
U,0.776,0.434,2
N,0.969,0.391,3
N,0.699,0.391,2
N,0.969,0.391,4
N,1.0,0.391,4
N,0.776,0.434,2
N,0.987,0.391,3
Y,0.319,0.391,4
N,0.969,0.391,3
N,1.0,0.391,3
N,0.425,0.391,4
N,1.0,0.391,4
N,0.969,0.391,3
U,0.792,0.433,3
U,0.754,0.433,3
U,0.776,0.434,2
N,0.712,0.391,3
U,0.292,0.434,2
N,0.987,0.391,3
N,0.017,0.391,3
U,0.27,0.433,3
N,0.017,0.391,3
Y,0.425,0.391,4
Y,0.0,0.391,4
N,0.288,0.391,4
N,0.681,0.391,4
N,0.288,0.391,3
Y,0.309,0.433,3
N,0.699,0.391,2
N,0.969,0.391,3
Y,0.319,0.391,4
Y,0.607,0.391,4
N,0.969,0.391,3
U,0.292,0.434,2
N,0.681,0.391,3
N,0.969,0.391,4
N,0.969,0.391,3
U,0.792,0.433,2
Y,0.309,0.433,3
N,0.607,0.391,4
N,0.913,0.43,2
N,0.913,0.43,2
N,0.987,0.391,3
U,0.292,0.434,2
Y,0.017,0.391,3
Y,0.319,0.391,3
U,0.309,0.433,2
Y,0.607,0.391,4
Y,0.319,0.391,4
N,0.017,0.391,3
N,0.411,0.391,3
Y,0.319,0.391,4
Y,0.607,0.391,4
N,0.031,0.391,4
N,0.987,0.391,2
N,0.969,0.391,3
Y,0.607,0.391,4
N,0.776,0.434,2
N,0.425,0.391,3
N,0.969,0.391,4
N,0.017,0.391,3
Y,0.305,0.391,3
N,1.0,0.391,3
U,0.776,0.434,2
N,0.987,0.391,2
Y,0.27,0.433,3
U,0.27,0.433,3
N,0.681,0.391,3
N,0.969,0.391,4
N,0.681,0.391,4
N,0.987,0.391,3
U,0.776,0.434,2
U,0.576,0.488,2
N,0.712,0.391,4
U,0.625,0.488,2
N,0.55,0.43,2
Y,0.017,0.391,3
N,0.607,0.391,4
N,0.913,0.43,2
Y,0.288,0.391,4
N,0.969,0.391,3
N,0.411,0.391,3
U,0.792,0.433,3
Y,0.575,0.391,4
Y,0.425,0.391,4
